"namefirst","name_count","g","h","hr","rbi"
"Chris",612,34841,23120,2450,10858
"Tony",575,44081,37545,3035,16997
"Tim",490,27991,18603,1369,8254
"Alex",362,23398,18549,1830,8564
"David",322,21799,16542,2017,8494
"Josh",240,11447,7861,922,3881
"Nick",205,11761,8747,927,4296
"Michael",184,12286,9413,881,4188
"Kyle",104,3780,1342,185,690
"Jeremy",84,3494,1295,142,615
"Brent",69,3490,2359,122,1008
"Kenny",48,2891,2458,130,794
"William",48,1500,1115,22,542
"Stephen",35,2117,1728,200,836
"Oliver",22,540,59,0,15
"Parker",1,2,0,0,0
"Theodore",1,1,0,0,0
